Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",711.337,616.234,636.693,582.323,586.204,580.817,591.667,2019
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,953.61","4,124.41","4,542.76","5,284.44","5,323.19","5,286.68","5,991.09",2019
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,153.32","3,918.94","4,079.65","4,118.74","3,939.54","3,262.58","3,363.97",2019
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,354.92","3,676.83","4,303.69","3,620.59","2,974.13","2,012.15","2,080.35",2017
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,696.89","15,556.01","15,655.23","16,860.96","17,195.46","14,168.26","13,824.22",2011
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,895.32","12,772.87","14,618.33","11,624.89","9,890.31","8,554.64","9,121.56",2019
Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,529.03","3,524.00","3,868.91","4,195.96","4,604.77","4,155.27","4,125.33",2015
Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,126.62","27,037.46","27,838.91","28,694.90","29,813.78","21,832.92","22,851.99",2017
Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","51,484.05","51,918.17","55,914.69","56,465.24","54,464.06","52,824.82","62,723.50",2019
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","44,267.81","45,278.83","47,317.91","51,246.15","50,246.61","48,154.38","53,859.01",2019
Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,300.14","3,897.71","4,217.65","4,759.80","4,813.67","4,218.00","4,882.73",2019
The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","32,154.95","32,390.98","33,543.00","34,583.83","35,664.03","29,220.54","30,069.96",2018
Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","22,659.37","22,641.28","23,631.59","25,051.02","25,929.95","22,402.00","24,294.24",2019
